Batch Size,Generation Speed
1,94.95231244644039
2,92.6889169945828
2,92.7034008100638
3,91.70018669714314
3,91.71197669416412
3,91.72011917590481
4,90.56713807684754
4,90.57816121433144
4,90.58951965159818
4,90.58817746255204
5,89.10416231162867
5,89.11071235387773
5,89.12290253912167
5,89.13285332303315
5,89.13773672440223
6,87.32018373633097
6,87.32305247272883
6,87.33680611834733
6,87.33261628888019
6,87.34639477542316
6,87.3545009424605
7,86.3124223136465
7,86.31730708204192
7,86.32606197029298
7,86.33362443947932
7,86.34295141389201
7,86.35053817561825
7,86.34910177914843
8,85.38139163372678
8,85.37790173752404
8,85.39343118431657
8,85.3994644045851
8,85.41085856209084
8,85.41745089300588
8,85.41466772681245
8,85.42187302130012
9,83.69421603140097
9,83.70786261218416
9,83.69786359226825
9,83.7158321351367
9,83.72787784936119
9,83.72422098701905
9,83.73604844727605
9,83.73663355536108
9,83.7403082210611
10,82.46414092237852
10,82.45239122518518
10,82.469527319482
10,82.46802255975952
10,82.47772663026137
10,82.48554798253872
10,82.48629418655766
10,82.48788072605629
10,82.50022797051481
10,82.49992938643777
20,63.22942419596288
20,63.226215928076996
20,63.22956717448058
20,63.21199900435507
20,63.23264994858687
20,63.23873058640821
20,63.244793320772345
20,63.24957338284116
20,63.256281184526614
20,63.25845828260757
20,63.27730474271418
20,63.27021262107923
20,63.2753516256951
20,63.28576009440332
20,63.279597852149806
20,63.29469528091814
20,63.28440609324609
20,63.29419669293834
20,63.29926699207839
20,63.30633314183826
30,58.47755286976125
30,58.492964506464496
30,58.4845196394324
30,58.49475917135251
30,58.49425175947691
30,58.481460057701426
30,58.52014589295786
30,58.498104067976286
30,58.49068380945167
30,58.4955831225725
30,58.51485878112255
30,58.501543999652306
30,58.52101955035228
30,58.525986012549666
30,58.52651847516455
30,58.536991664568106
30,58.539865871635484
30,58.55553436317151
30,58.55505042028562
30,58.558330270901585
30,58.56165791256141
30,58.563952325081495
30,58.561666089050895
30,58.575219305283454
30,58.60547576917465
30,58.610040522118645
30,58.60260002874309
30,58.626975791357886
30,58.61948184189803
30,58.622115075732495
40,51.950543298394976
40,51.938591883619225
40,51.96516291904903
40,51.947101025577446
40,51.95598623734396
40,51.94912000803778
40,51.95958545846551
40,51.972799750231424
40,51.952845693568655
40,51.96473928872985
40,51.958914750346715
40,51.979681259505526
40,51.95800076140083
40,51.965384394184156
40,51.97269413287664
40,51.97698099671439
40,51.97700160834482
40,51.9899296087046
40,51.9646710449779
40,51.986143189356945
40,51.979384938338505
40,51.973160398092986
40,51.99447584478763
40,51.99293800144013
40,51.99484194998806
40,51.99833309939498
40,51.98642927802305
40,52.003299899643636
40,51.987650989381955
40,52.00760600127745
40,52.0130957349575
40,52.00575786252336
40,52.02325273331743
40,52.012593923112405
40,52.02283718885491
40,52.05358216368948
40,52.030006906811536
40,52.0372418707504
40,52.04955910492763
40,52.04460283850097
50,48.552885088327315
50,48.54426823789625
50,48.545318909559036
50,48.53488949705206
50,48.53021833104573
50,48.539940174982945
50,48.563182790659226
50,48.553397677704424
50,48.541034477283354
50,48.56605847239947
50,48.55358090855062
50,48.55513898867786
50,48.563351475922474
50,48.561086692878646
50,48.56441422002855
50,48.56418929676069
50,48.56442771549088
50,48.564489569789174
50,48.564500816042155
50,48.585636101241974
50,48.573857253703
50,48.56699986262348
50,48.570663421384076
50,48.575966830833195
50,48.574111518354655
50,48.56579192050701
50,48.57082765894485
50,48.571144888062975
50,48.58777596991733
50,48.61108133180259
50,48.59214184151194
50,48.58535357611863
50,48.587394359326645
50,48.601854722783365
50,48.602526040386586
50,48.611082458586566
50,48.600553816125334
50,48.601588904159954
50,48.607916401741434
50,48.60595387891204
50,48.61218109782457
50,48.61812926037062
50,48.62358847050181
50,48.625984236723724
50,48.63135273759135
50,48.6298540386926
50,48.642588590880884
50,48.636590451518
50,48.63823733887925
50,48.643607417526646
60,44.94470733632841
60,44.924456978299695
60,44.94317489951524
60,44.929560932034214
60,44.943924249023674
60,44.93468530151774
60,44.93861577152661
60,44.92891409115212
60,44.940248052617896
60,44.948781179001024
60,44.95551248828069
60,44.97954040375617
60,44.97625867456659
60,44.958300607656255
60,44.94395410794078
60,44.96214459673841
60,44.9402287919727
60,44.948947847546194
60,44.94377013911457
60,44.95810110058973
60,44.97869050377351
60,44.96720601603457
60,44.99311904043949
60,44.96579738092035
60,44.97086444441495
60,44.97336320188853
60,44.97608987428689
60,44.982229231915575
60,44.97826894214618
60,44.97887379390235
60,44.97031766728485
60,44.98418020836526
60,44.985235851736924
60,44.98905259922413
60,44.989541923170165
60,44.9974990327419
60,44.988145399556515
60,44.98802476405899
60,44.99495704666184
60,44.997211319181844
60,44.9996135506439
60,44.99932774117559
60,45.00080414063223
60,45.015159908253004
60,45.004210174557755
60,45.00309183381625
60,45.016761034736035
60,45.01110687145944
60,45.00262925488923
60,45.010631569074505
60,45.01198311578439
60,45.01245264993485
60,45.015058452657165
60,45.01650979432016
60,45.01996652878217
60,45.019002996455455
60,45.01671271905365
60,45.01947460993356
60,45.021510972548505
60,45.02505837536244
